mode,load,0_inception_v3-32,1_squeezenet1_0-4,2_vgg11-32
mps-uncap,0.6,902.7367715586612,831.3926368245307,487.9683825788402
mig,0.6,902.5856600569297,838.5652968525185,504.36750926394916
mps-uncap,0.7,1088.472087339805,978.406576525238,559.9685877891434
mig,0.7,1094.88651996993,974.787173422679,597.3150778239227
mps-uncap,0.8,1221.030315215285,1108.6568415470713,665.1582623466958
mig,0.8,1236.361587281797,1106.3419866771644,674.6187665375145
mps-uncap,0.9,1392.7089413216136,1254.70104753292,733.9794868415819
mig,0.9,1396.108499605282,1260.3792944052311,752.1961882412614
mps-uncap,1.0,1532.0032998889558,1184.744034146888,809.5828818381202
mig,1.0,1509.9394213118433,1393.2654891324783,801.8988653745259
mps-uncap,1.1,1565.3079144461785,1098.1181280774363,898.2730313304786
mig,1.1,1517.7238203273396,1395.3016123006037,823.8470921451091
mps-uncap,1.2,1517.7828422364591,1038.5341288059176,987.5431883923113
mig,1.2,1519.9023803078278,1396.423289073948,825.5780197642888
mps-uncap,1.3,1454.1823104549953,990.8090264303509,1076.7940465540273
mig,1.3,1517.9487852535024,1394.5995896762674,823.0331284433148
