mode,load,0_inception_v3-32,1_squeezenet1_0-4,2_vgg11-32
mps-uncap,0.6,0.011205673217773438,0.010967254638671875,0.013113021850585938
mig,0.6,0.01430511474609375,0.011205673217773438,0.0133514404296875
mps-uncap,0.7,0.01239776611328125,0.011920928955078125,0.0133514404296875
mig,0.7,0.012874603271484375,0.010728836059570312,0.012636184692382812
mps-uncap,0.8,0.014066696166992188,0.012159347534179688,0.0133514404296875
mig,0.8,0.0133514404296875,0.011444091796875,0.013589859008789062
mps-uncap,0.9,0.012159347534179688,0.012874603271484375,0.012874603271484375
mig,0.9,0.01430511474609375,0.011205673217773438,0.0133514404296875
mps-uncap,1.0,0.01430511474609375,0.0133514404296875,0.010967254638671875
mig,1.0,0.014543533325195312,0.011682510375976562,0.014543533325195312
mps-uncap,1.1,0.015497207641601562,0.0152587890625,0.013113021850585938
mig,1.1,0.0152587890625,0.012874603271484375,0.023126602172851562
mps-uncap,1.2,0.022411346435546875,0.014543533325195312,0.013113021850585938
mig,1.2,0.014543533325195312,0.014543533325195312,0.01811981201171875
mps-uncap,1.3,0.017881393432617188,0.01430511474609375,0.012159347534179688
mig,1.3,0.025510787963867188,0.013589859008789062,0.01811981201171875
