mode,load,0_inception_v3-8,1_resnet152-4,2_resnet50-8
mps-uncap,0.8,9.982466697692871,15.40684700012207,6.8694353103637695
mps-uncap,0.9,10.393142700195312,16.45803451538086,7.195711135864258
mps-uncap,1.0,12.25590705871582,17.122268676757812,6.642818450927734
mps-uncap,0.5,9.449958801269531,13.978958129882812,5.860805511474609
mps-uncap,0.6,9.724974632263184,14.078617095947266,6.030082702636719
mps-uncap,0.7,9.475946426391602,14.580607414245605,6.33692741394043
mps-uncap,0.1,18.001794815063477,22.98736572265625,10.420560836791992
mps-uncap,0.2,13.336658477783203,15.27857780456543,8.659005165100098
mps-uncap,0.3,10.20193099975586,14.643549919128418,6.8885087966918945
mps-uncap,0.4,9.565114974975586,14.287471771240234,6.205081939697266
