mode,load,0_inception_v3-8,1_resnet152-4,2_resnet50-8
mps-uncap,0.8,10.78476905822754,17.026662826538086,7.693743705749512
mps-uncap,0.9,10.96343994140625,17.280149459838867,7.706403732299805
mps-uncap,1.0,12.690496444702148,17.84062385559082,7.115387916564941
mps-uncap,0.5,11.48843765258789,15.032196044921877,7.521152496337891
mps-uncap,0.6,11.939644813537598,14.892911911010742,7.66301155090332
mps-uncap,0.7,10.530710220336914,16.675949096679688,7.6462745666503915
mps-uncap,0.1,20.07012367248535,25.153279304504395,10.939931869506836
mps-uncap,0.2,16.736984252929688,22.820234298706055,10.719633102416992
mps-uncap,0.3,14.641952514648438,17.19260215759278,9.212875366210938
mps-uncap,0.4,11.452817916870119,16.26121997833252,8.188676834106445
