mode,load,0_inception_v3-8,1_resnet152-4,2_resnet50-8
mps-uncap,0.8,595.0554599265886,224.6078937012857,956.6219918666883
mps-uncap,0.9,664.2384019670577,245.75950712694166,1091.9129094221416
mps-uncap,1.0,656.0609339543549,233.7907196514267,1178.6757223235377
mps-uncap,0.5,373.392759826171,143.66775238608173,587.7546654917492
mps-uncap,0.6,453.6191994506747,172.56176673207852,724.9269721084355
mps-uncap,0.7,509.91559952121196,193.91315066667516,824.2425465611793
mps-uncap,0.1,69.44003501881649,28.796891141772115,115.80561546185
mps-uncap,0.2,141.50832018610566,62.03165092739503,237.4295163055838
mps-uncap,0.3,218.5358313549247,80.06920783392161,367.63635140355285
mps-uncap,0.4,301.74954333701623,118.30259410608349,476.51420216381626
