mode,load,0_resnet50-32,1_squeezenet1_0-2,2_squeezenet1_0-4
mps-uncap,1.0,15.815973281860352,4.476070404052734,4.548549652099609
mig,1.0,26.449203491210938,1.7583370208740234,2.777576446533203
