mode,load,0_efficientnet_b7-32,1_resnet50-16,2_squeezenet1_0-2
mps-uncap,0.8,711.5039825439453,259.7789764404297,126.92928314208984
mps-uncap,0.9,1725.52490234375,366.46270751953125,323.0934143066406
mps-uncap,1.0,5785.066604614258,1719.3818092346191,3371.7188835144043
mps-uncap,0.5,373.396635055542,85.8011245727539,29.04486656188965
mps-uncap,0.6,205.65509796142578,132.75480270385742,43.86019706726074
mps-uncap,0.7,336.0629081726074,142.042875289917,32.1500301361084
mps-uncap,0.1,56.74862861633301,22.927284240722656,22.773027420043945
mps-uncap,0.2,59.62181091308594,38.2692813873291,18.93019676208496
mps-uncap,0.3,105.10921478271484,35.20393371582031,31.19182586669922
mps-uncap,0.4,161.5440845489502,69.94056701660156,29.773235321044922
