mode,load,0_efficientnet_b7-2,1_resnet34-16,2_resnet34-32
mps-uncap,0.8,38.49601745605469,16.448259353637695,16.579866409301758
mps-uncap,0.9,49.509525299072266,21.948814392089844,21.693944931030273
mps-uncap,1.0,44.429779052734375,19.014596939086914,23.78988265991211
mps-uncap,0.5,34.67440605163574,14.65296745300293,17.821788787841797
mps-uncap,0.6,35.98380088806152,14.09149169921875,16.83783531188965
mps-uncap,0.7,36.89742088317871,14.709234237670898,16.472816467285156
mps-uncap,0.1,50.788164138793945,16.132831573486328,18.46170425415039
mps-uncap,0.2,38.99121284484863,13.823747634887695,14.862537384033203
mps-uncap,0.3,38.80739212036133,26.331424713134766,18.435001373291016
mps-uncap,0.4,34.11221504211426,15.081405639648438,15.339851379394531
