mode,load,0_vgg13-16,1_vgg13-16,2_vgg13-16,3_vgg13-16
mig,0.1,59.812879836060596,55.136558867433166,56.73772852339581,22.929297101894157
mig,0.2,111.37395887931793,119.18039194119049,104.8969244265549,56.26168345558907
mig,0.3,166.6629156813701,165.94460339961222,166.9175723282486,78.57301316981886
mig,0.4,213.36280297639993,214.44201778552568,212.54096140753865,117.81614784852619
mig,0.5,286.0247972982586,273.3082378488064,282.3240123934198,137.90475212539735
mig,0.6,344.4778273504584,336.360439248111,326.39663931867875,170.84734701107897
mig,0.7,383.9956958943005,400.6264050014376,375.71881106113176,197.49379907732103
mig,0.8,462.8324163673882,447.8009244827447,425.25891624701455,218.9975064981561
mig,0.9,498.8634211964338,506.9410509384279,495.594430747918,255.1108494964059
mig,1.0,555.9399623741981,558.9979434238688,557.1390279318477,288.6894217133052
