mode,load,0_densenet169-16,1_mobilenet_v3_large-2,2_vgg16-32
mps-uncap,0.8,490.39149284362793,113.42954635620117,233.26945304870605
mps-uncap,0.9,609.5330715179443,267.1475410461426,365.8256530761719
mps-uncap,1.0,3559.2973232269287,265.25139808654785,1454.2882442474365
mps-uncap,0.5,146.38566970825195,52.99687385559082,70.06621360778809
mps-uncap,0.6,165.8937931060791,65.02199172973633,116.37425422668457
mps-uncap,0.7,197.3586082458496,75.54483413696289,137.11166381835938
mps-uncap,0.1,22.0029354095459,13.673782348632812,31.3723087310791
mps-uncap,0.2,23.161649703979492,13.183355331420898,39.766788482666016
mps-uncap,0.3,36.57984733581543,18.25261116027832,47.86491394042969
mps-uncap,0.4,51.10049247741699,29.45876121520996,63.918352127075195
