mode,load,0_densenet169-16,1_mobilenet_v3_large-2,2_vgg16-32
mps-uncap,0.8,152.10236107544458,80.85477091066106,1239.74191064288
mps-uncap,0.9,165.43038404315098,92.10699289720813,1403.9295733339575
mps-uncap,1.0,181.3561444390082,97.71077650063313,1550.0239121347918
mps-uncap,0.5,98.60866461904145,50.96710330567979,778.2603405470721
mps-uncap,0.6,114.7271685597457,64.12318047483258,954.9087859360011
mps-uncap,0.7,131.29875203204884,71.78336008968681,1078.3977148199217
mps-uncap,0.1,20.97244587730929,10.557523748803824,148.96983319062335
mps-uncap,0.2,42.47302941106922,21.56604852242542,315.1685785444083
mps-uncap,0.3,55.52928593109753,30.964884386850407,468.86209918081187
mps-uncap,0.4,77.99735406713496,40.056308657683324,607.6585817622611
