mode,load,0_densenet169-16,1_mobilenet_v3_large-2,2_vgg16-32
mps-uncap,0.8,0.013828277587890625,0.010967254638671875,0.011444091796875
mps-uncap,0.9,0.013113021850585938,0.011444091796875,0.012874603271484375
mps-uncap,1.0,0.020503997802734375,0.010728836059570312,0.011920928955078125
mps-uncap,0.5,0.0133514404296875,0.011682510375976562,0.011920928955078125
mps-uncap,0.6,0.0133514404296875,0.011444091796875,0.011920928955078125
mps-uncap,0.7,0.013828277587890625,0.010728836059570312,0.012159347534179688
mps-uncap,0.1,0.023126602172851562,0.019311904907226562,0.019311904907226562
mps-uncap,0.2,0.019550323486328125,0.011205673217773438,0.01239776611328125
mps-uncap,0.3,0.020742416381835938,0.011205673217773438,0.012874603271484375
mps-uncap,0.4,0.018358230590820312,0.012636184692382812,0.01049041748046875
