mode,load,0_efficientnet_b7-4,1_squeezenet1_0-16,2_vgg19-16
mps-uncap,0.8,51.02396011352539,11.169075965881348,22.93229103088379
mps-uncap,0.9,74.64742660522461,14.09614086151123,30.45511245727539
mps-uncap,1.0,1178.8331270217896,432.4817657470703,730.542778968811
mps-uncap,0.5,25.10833740234375,4.026174545288086,12.741565704345703
mps-uncap,0.6,26.560664176940918,6.387233734130859,13.5117769241333
mps-uncap,0.7,36.97526454925537,9.379982948303223,17.797231674194336
mps-uncap,0.1,28.774380683898926,3.1042098999023438,10.867595672607422
mps-uncap,0.2,27.602195739746094,3.1211376190185547,10.883808135986328
mps-uncap,0.3,26.7866849899292,3.1249523162841797,10.972738265991211
mps-uncap,0.4,23.975849151611328,3.2281875610351562,12.337207794189453
