mode,load,0_mobilenet_v2-32,1_mobilenet_v2-32
mig,0.1,0.060558319091796875,0.06079673767089844
mig,0.2,0.05316734313964844,0.05650520324707031
mig,0.3,0.05054473876953125,0.05269050598144531
mig,0.4,0.05614757537841797,0.05173683166503906
mig,0.5,2.6483535766601562,0.05245208740234375
mig,0.6,5.997419357299805,1.842498779296875
mig,0.7,11.169672012329102,5.077600479125977
mig,0.8,23.5288143157959,9.029865264892578
mig,0.9,141.07906818389893,17.12203025817871
mig,1.0,2404.79838848114,35.88593006134033
