mode,load,0_mobilenet_v2-32,1_mobilenet_v2-32
mig,0.1,24.407625198364258,20.532846450805664
mig,0.2,31.777620315551758,29.469013214111328
mig,0.3,46.839237213134766,34.74593162536621
mig,0.4,58.176279067993164,47.29580879211426
mig,0.5,70.49036026000977,50.991058349609375
mig,0.6,107.21182823181152,59.02409553527832
mig,0.7,155.81226348876953,105.82089424133301
mig,0.8,209.13052558898926,119.30704116821289
mig,0.9,716.5861129760742,170.5801486968994
mig,1.0,3618.5381412506104,245.56303024291992
