mode,load,0_densenet161-8,1_resnet18-32,2_resnet50-4
mps-uncap,0.8,10.548114776611328,4.121541976928711,2.806425094604492
mps-uncap,0.9,10.759830474853516,4.143714904785156,2.8078556060791016
mps-uncap,1.0,10.825872421264648,4.188776016235352,2.834320068359375
mps-uncap,0.5,10.53476333618164,4.123926162719727,2.7375221252441406
mps-uncap,0.6,10.612249374389648,4.132509231567383,2.7713775634765625
mps-uncap,0.7,10.52236557006836,4.122018814086914,2.8076171875
mps-uncap,0.1,10.566473007202148,4.122495651245117,2.8107166290283203
mps-uncap,0.2,10.610103607177734,4.1351318359375,2.771139144897461
mps-uncap,0.3,10.621070861816406,4.136323928833008,2.793550491333008
mps-uncap,0.4,10.526895523071289,4.1255950927734375,2.8350353240966797
