mode,load,0_densenet161-8,1_resnet18-32,2_resnet50-4
mps-uncap,0.8,10.606765747070312,4.143476486206055,2.8340816497802734
mps-uncap,0.9,10.916471481323242,4.158973693847656,2.8374195098876953
mps-uncap,1.0,10.862350463867188,4.2247772216796875,2.8607845306396484
mps-uncap,0.5,10.560750961303711,4.1408538818359375,2.786397933959961
mps-uncap,0.6,10.634899139404297,4.150152206420898,2.8235912322998047
mps-uncap,0.7,10.585784912109375,4.1370391845703125,2.8421878814697266
mps-uncap,0.1,10.619163513183594,4.150629043579102,2.874135971069336
mps-uncap,0.2,10.663986206054688,4.1522979736328125,2.793550491333008
mps-uncap,0.3,10.660409927368164,4.152059555053711,2.8557777404785156
mps-uncap,0.4,10.554075241088867,4.137277603149414,2.8891563415527344
