mode,load,0_densenet161-8,1_resnet18-32,2_resnet50-4
mps-uncap,0.8,212.01754167004248,3909.2951110346335,392.12349729965143
mps-uncap,0.9,236.04019228993877,4497.457293012858,440.4335608783414
mps-uncap,1.0,262.6472505069829,4924.298074332715,485.8314653525166
mps-uncap,0.5,135.3131416780345,2440.963768970958,241.69783153099397
mps-uncap,0.6,154.01692140630303,2971.3334811698223,293.4763031762671
mps-uncap,0.7,180.85999611506315,3404.350737183897,338.58547241693367
mps-uncap,0.1,24.04538334514419,490.8213150286755,48.44512021780165
mps-uncap,0.2,51.7209649496486,977.0180451162831,96.75701114408302
mps-uncap,0.3,83.13054433543856,1481.210231355312,143.79751131872118
mps-uncap,0.4,109.02654607669703,1934.1026679982392,189.2297770847993
