mode,load,0_inception_v3-8,1_mobilenet_v3_large-16,2_vgg16-2
mps-uncap,0.8,48.7020492553711,41.60480499267578,19.022607803344727
mps-uncap,0.9,1098.2620477676392,390.04073143005377,42.20283031463623
mps-uncap,1.0,8640.290927886965,1261.342144012451,4155.265140533449
mps-uncap,0.5,20.865917205810547,14.14051055908203,6.6611766815185565
mps-uncap,0.6,24.685096740722656,16.31221771240235,7.845115661621095
mps-uncap,0.7,31.42414093017578,23.407268524169925,10.900020599365234
mps-uncap,0.1,22.93705940246582,16.394710540771484,4.216647148132324
mps-uncap,0.2,25.349783897399902,17.924857139587406,4.4925928115844735
mps-uncap,0.3,22.858858108520508,15.871047973632812,4.966735839843749
mps-uncap,0.4,20.88797092437744,14.675664901733402,5.799221992492676
