mode,load,0_inception_v3-8,1_mobilenet_v3_large-16,2_vgg16-2
mps-uncap,0.8,76.84368133544929,64.3251609802246,34.77506160736084
mps-uncap,0.9,1341.5747070312511,504.2833209037778,99.24894571304321
mps-uncap,1.0,9469.439313411713,1366.2465858459475,4679.065151214601
mps-uncap,0.5,23.890376091003418,17.976059913635265,8.600702285766529
mps-uncap,0.6,34.0066909790039,21.97857618331907,10.722665786743162
mps-uncap,0.7,44.24489974975584,38.46685886383053,18.082737922668457
mps-uncap,0.1,17.31019020080566,13.959641456604,3.0040073394775395
mps-uncap,0.2,21.24539852142334,19.52149629592899,4.017620086669912
mps-uncap,0.3,23.120832443237305,17.88902282714843,4.9267196655273375
mps-uncap,0.4,22.126567363739053,16.55087471008299,7.490167617797833
