mode,load,0_inception_v3-8,1_mobilenet_v3_large-16,2_vgg16-2
mps-uncap,0.8,8.646249771118164,4.779338836669922,2.045154571533203
mps-uncap,0.9,8.742809295654297,4.882335662841797,2.0508766174316406
mps-uncap,1.0,9.443283081054688,5.069494247436523,2.043008804321289
mps-uncap,0.5,8.510589599609375,4.812717437744141,2.009868621826172
mps-uncap,0.6,8.486270904541016,4.804134368896484,2.0172595977783203
mps-uncap,0.7,8.629322052001953,4.895925521850586,2.025604248046875
mps-uncap,0.1,8.71729850769043,5.95545768737793,2.2258758544921875
mps-uncap,0.2,8.728742599487305,4.869699478149414,2.0465850830078125
mps-uncap,0.3,8.625984191894531,4.791736602783203,2.0411014556884766
mps-uncap,0.4,8.701801300048828,4.853725433349609,2.035379409790039
