mode,load,0_inception_v3-8,1_mobilenet_v3_large-16,2_vgg16-2
mps-uncap,0.8,8.574962615966797,4.749536514282227,2.0263195037841797
mps-uncap,0.9,8.52513313293457,4.818916320800781,2.0389556884765625
mps-uncap,1.0,9.427785873413086,4.859685897827148,2.0232200622558594
mps-uncap,0.5,8.493661880493164,4.770994186401367,1.9981861114501953
mps-uncap,0.6,8.468866348266602,4.762411117553711,1.997232437133789
mps-uncap,0.7,8.556842803955078,4.861593246459961,2.0101070404052734
mps-uncap,0.1,8.688211441040039,5.930900573730469,2.2072792053222656
mps-uncap,0.2,8.588552474975586,4.835844039916992,2.0265579223632812
mps-uncap,0.3,8.582353591918945,4.756927490234375,2.0263195037841797
mps-uncap,0.4,8.60738754272461,4.815578460693359,2.0160675048828125
