mode,load,0_resnet18-32,1_densenet161-16,2_mobilenet_v3_small-8
mps-uncap,0.6,13.24617862701416,41.6238307952881,18.904972076416016
mig,0.6,28.92589569091797,176.30243301391602,13.829874992370605
mps-uncap,0.7,14.463090896606447,56.7227363586426,37.4445915222168
mig,0.7,36.53383255004883,212.4373435974121,17.9826021194458
mps-uncap,0.8,19.863605499267578,64.56847190856935,74.05161857604982
mig,0.8,53.1998634338379,258.66160392761236,25.168228149414066
mps-uncap,0.9,24.34310913085938,75.20747184753418,6678.567552566528
mig,0.9,140.0801658630371,598.1340646743774,59.34660434722898
mps-uncap,1.0,32.51574039459229,82.37800598144531,20917.72656440735
mig,1.0,715.8621788024902,2481.61416053772,169.8273658752442
mps-uncap,1.1,51.20446681976319,93.36683750152588,28718.759083747864
mig,1.1,6053.144574165345,7038.9039516448975,5893.943428993225
mps-uncap,1.2,107.92436599731444,211.4145278930665,31340.437173843384
mig,1.2,13039.641237258915,10976.273846626282,12818.135261535645
mps-uncap,1.3,2800.818634033203,176.6012668609619,44090.2750492096
mig,1.3,18397.343397140503,17211.402773857117,18231.715869903564
