mode,load,0_resnet18-32,1_densenet161-16,2_mobilenet_v3_small-8
mps-uncap,0.6,17.236948013305664,40.465354919433594,13.883829116821289
mig,0.6,14.960765838623047,70.18876075744629,8.154630661010742
mps-uncap,0.7,15.670299530029297,43.10297966003418,13.721227645874023
mig,0.7,15.568256378173828,60.572147369384766,9.3231201171875
mps-uncap,0.8,16.088008880615234,41.30268096923828,13.276815414428711
mig,0.8,17.282724380493164,61.96784973144531,8.672237396240234
mps-uncap,0.9,22.095918655395508,52.7958869934082,19.165515899658203
mig,0.9,16.441822052001953,62.769174575805664,6.138801574707031
mps-uncap,1.0,19.984006881713867,40.062665939331055,14.24717903137207
mig,1.0,21.991729736328125,64.27931785583496,10.584354400634766
mps-uncap,1.1,24.38521385192871,41.04042053222656,17.92430877685547
mig,1.1,17.39501953125,66.41840934753418,10.160207748413086
mps-uncap,1.2,15.515327453613281,42.18339920043945,15.819549560546875
mig,1.2,19.269704818725586,60.51802635192871,9.222269058227539
mps-uncap,1.3,17.041683197021484,42.86789894104004,21.81720733642578
mig,1.3,23.249387741088867,69.80133056640625,17.670392990112305
