mode,load,0_resnet18-32,1_densenet161-16,2_mobilenet_v3_small-8
mps-uncap,0.6,1920.0199907709264,157.46919707887182,1157.7576280581611
mig,0.6,1953.7263834869807,172.8429488205514,1182.1489036311436
mps-uncap,0.7,2280.9612314601914,187.93098774521616,1366.276223812753
mig,0.7,2276.816333445525,197.70122794982004,1375.0341422619736
mps-uncap,0.8,2632.8153161314453,225.85057708668938,1537.0871243755735
mig,0.8,2581.2761052856163,220.86622550654047,1569.9594527585668
mps-uncap,0.9,2932.8064824643816,250.22952911789696,1587.9991133444817
mig,0.9,2963.994285901933,246.21452211368802,1732.6215069095203
mps-uncap,1.0,3249.443425907739,287.3448648706609,1455.7060453929935
mig,1.0,3270.080100782025,280.6150571668865,1930.0671679335042
mps-uncap,1.1,3629.638901218353,298.6114814993992,1398.627770006367
mig,1.1,3301.922333842881,279.4618222647175,1947.5340725378287
mps-uncap,1.2,3914.2919459579966,329.1196448816163,1412.8737852162642
mig,1.2,3306.093871661055,283.1739210716412,1964.4871617786857
mps-uncap,1.3,4237.295733612947,365.61779048255613,1198.1023767316376
mig,1.3,3314.1478374367493,282.92219787818766,1940.336835833633
