mode,load,0_resnet18-32,1_densenet161-16,2_mobilenet_v3_small-8
mps-uncap,0.6,4.3926239013671875,18.574953079223633,4.000425338745117
mig,0.6,8.766412734985352,55.60946464538574,4.017353057861328
mps-uncap,0.7,4.36711311340332,18.729209899902344,4.051446914672852
mig,0.7,8.785247802734375,55.68289756774902,4.009008407592773
mps-uncap,0.8,4.371166229248047,18.848657608032227,3.966808319091797
mig,0.8,8.756637573242188,55.53412437438965,3.954648971557617
mps-uncap,0.9,4.66465950012207,19.819259643554688,4.090547561645508
mig,0.9,8.762598037719727,55.72032928466797,3.9877891540527344
mps-uncap,1.0,4.821300506591797,19.884824752807617,4.030942916870117
mig,1.0,8.756160736083984,55.65214157104492,3.9315223693847656
mps-uncap,1.1,4.806280136108398,20.036935806274414,3.9625167846679688
mig,1.1,8.764266967773438,55.68814277648926,3.9844512939453125
mps-uncap,1.2,4.659175872802734,18.756389617919922,4.0493011474609375
mig,1.2,8.78143310546875,55.6178092956543,3.950834274291992
mps-uncap,1.3,5.008697509765625,23.949623107910156,4.034280776977539
mig,1.3,8.770227432250977,55.675506591796875,3.9861202239990234
