mode,load,0_resnet18-32,1_densenet161-16,2_mobilenet_v3_small-8
mps-uncap,0.6,11.782753467559825,37.86604881286621,8.583216667175302
mig,0.6,13.458395004272461,59.91382598876954,5.183522701263427
mps-uncap,0.7,11.350698471069325,39.20281648635863,9.90391254425049
mig,0.7,13.312225341796875,59.49579715728761,4.8422932624816895
mps-uncap,0.8,11.83714866638183,39.471118450164795,9.330997467041017
mig,0.8,13.270239830017086,59.21336650848388,4.637160301208495
mps-uncap,0.9,11.846837997436523,39.76191520690918,9.444041252136232
mig,0.9,13.178329467773438,59.521682262420654,4.569528102874754
mps-uncap,1.0,11.975688934326172,36.12783670425415,10.846147537231444
mig,1.0,12.967371940612793,59.00849103927612,4.456748962402344
mps-uncap,1.1,11.888499259948729,36.80616855621338,10.858130455017086
mig,1.1,12.763006687164307,58.44273567199706,4.487276077270508
mps-uncap,1.2,11.280155181884764,40.503995418548584,10.026502609252931
mig,1.2,12.284905910491943,57.95041084289551,4.424905776977537
mps-uncap,1.3,12.003850936889647,36.44163370132446,11.520643234252935
mig,1.3,12.335538864135742,57.91422128677368,4.476118087768555
