mode,load,0_resnet18-32,1_densenet161-16,2_mobilenet_v3_small-8
mps-uncap,0.6,0.012636184692382812,0.014781951904296875,0.011444091796875
mig,0.6,0.0133514404296875,0.014781951904296875,0.012159347534179688
mps-uncap,0.7,0.010967254638671875,0.01430511474609375,0.011682510375976562
mig,0.7,0.012874603271484375,0.014543533325195312,0.011444091796875
mps-uncap,0.8,0.011444091796875,0.014066696166992188,0.011682510375976562
mig,0.8,0.013113021850585938,0.013828277587890625,0.011682510375976562
mps-uncap,0.9,0.011444091796875,0.014543533325195312,0.015020370483398438
mig,0.9,0.013589859008789062,0.013589859008789062,0.01239776611328125
mps-uncap,1.0,0.011920928955078125,0.014543533325195312,0.01430511474609375
mig,1.0,0.01430511474609375,0.0152587890625,0.013589859008789062
mps-uncap,1.1,0.011682510375976562,0.014543533325195312,0.015735626220703125
mig,1.1,0.014543533325195312,0.015020370483398438,0.015497207641601562
mps-uncap,1.2,0.013589859008789062,0.014781951904296875,0.014543533325195312
mig,1.2,0.0133514404296875,0.028848648071289062,0.014066696166992188
mps-uncap,1.3,0.014066696166992188,0.014543533325195312,0.0152587890625
mig,1.3,0.015974044799804688,0.018835067749023438,0.0152587890625
