mode,load,0_resnet18-32,1_densenet161-16,2_mobilenet_v3_small-8
mps-uncap,0.6,15.143537521362404,40.06253242492679,30.924639701843265
mig,0.6,41.05477333068849,228.91054153442388,20.632901191711422
mps-uncap,0.7,19.897298812866197,106.36073112487551,66.07530593872077
mig,0.7,66.01393699645985,243.83842706680315,30.95979690551755
mps-uncap,0.8,28.983259201049783,87.50400543212886,136.91722869873047
mig,0.8,85.64988613128662,315.58316230773926,43.321232795715254
mps-uncap,0.9,42.106304168701165,104.78221893310547,7105.244784355164
mig,0.9,318.06085586547846,812.7811980247498,98.25436115264884
mps-uncap,1.0,53.4091329574585,125.22755384445153,22732.852563858032
mig,1.0,799.5809650421135,2753.16829919815,248.28374862670893
mps-uncap,1.1,86.7652416229248,122.71775245666505,31332.81590461731
mig,1.1,6739.7255182266235,8659.246754646301,6436.272156238557
mps-uncap,1.2,221.83750152587876,493.09583663940424,34811.390352249146
mig,1.2,14217.511641979216,12071.75063610077,13935.907506942749
mps-uncap,1.3,3084.701280593872,269.3620038032532,48056.83847427368
mig,1.3,20475.602388381958,19460.850763320923,19942.646808624268
