mode,load,0_resnet18-32,1_densenet161-16,2_mobilenet_v3_small-8
mps-uncap,0.6,4.523038864135742,18.774747848510742,4.033088684082031
mig,0.6,8.794546127319336,55.774688720703125,4.0569305419921875
mps-uncap,0.7,4.411220550537109,18.750667572021484,4.08625602722168
mig,0.7,8.891105651855469,55.70840835571289,4.042863845825195
mps-uncap,0.8,4.387617111206055,19.150972366333008,4.002094268798828
mig,0.8,8.820295333862305,55.701255798339844,3.9970874786376953
mps-uncap,0.9,4.685163497924805,19.857168197631836,4.760980606079102
mig,0.9,8.908271789550781,55.788516998291016,4.021883010864258
mps-uncap,1.0,4.839658737182617,19.902706146240234,4.236936569213867
mig,1.0,8.840799331665039,55.90486526489258,3.9725303649902344
mps-uncap,1.1,4.828691482543945,20.067453384399414,4.332780838012695
mig,1.1,9.150028228759766,56.034088134765625,4.107475280761719
mps-uncap,1.2,4.723787307739258,19.988536834716797,4.339456558227539
mig,1.2,8.983850479125977,56.77342414855957,4.184961318969727
mps-uncap,1.3,6.11114501953125,24.6274471282959,5.276679992675781
mig,1.3,9.505033493041992,56.259870529174805,4.380226135253906
