mode,load,0_resnet18-32,1_densenet161-16,2_mobilenet_v3_small-8
mps-uncap,0.6,5.326390266418457,24.875879287719727,4.270076751708984
mig,0.6,9.33980941772461,56.43749237060547,4.126310348510742
mps-uncap,0.7,5.475044250488281,27.389168739318848,4.340887069702148
mig,0.7,9.414911270141602,56.470274925231934,4.104971885681152
mps-uncap,0.8,5.868673324584961,28.849482536315918,4.321575164794922
mig,0.8,9.396791458129883,56.4112663269043,4.0493011474609375
mps-uncap,0.9,6.270170211791992,30.73716163635254,4.661321640014648
mig,0.9,9.4451904296875,56.4495325088501,4.074335098266602
mps-uncap,1.0,6.650090217590332,30.687928199768066,5.141735076904297
mig,1.0,9.438753128051758,56.42974376678467,4.01759147644043
mps-uncap,1.1,6.78706169128418,32.46307373046875,5.288481712341309
mig,1.1,9.517192840576172,56.447744369506836,4.076957702636719
mps-uncap,1.2,7.080793380737305,37.84990310668945,5.404233932495117
mig,1.2,9.546995162963867,56.372761726379395,4.045009613037109
mps-uncap,1.3,7.243871688842773,33.70237350463867,6.334543228149414
mig,1.3,9.498834609985352,56.36787414550781,4.098653793334961
