mode,load,0_resnet18-32,1_densenet161-16,2_mobilenet_v3_small-8
mps-uncap,0.6,6.4727067947387695,15.39773941040039,14.21351432800293
mig,0.6,19.211292266845703,119.4312572479248,9.70313549041748
mps-uncap,0.7,8.037900924682617,27.6392936706543,32.50389099121095
mig,0.7,26.951694488525415,155.2893400192261,13.853907585144043
mps-uncap,0.8,12.841224670410156,33.80386829376221,69.29731369018555
mig,0.8,43.55463981628419,201.93777084350594,21.018910408020062
mps-uncap,0.9,17.12164878845215,43.807983398437536,6673.47559928894
mig,0.9,130.63583374023438,541.0125732421874,55.268812179565415
mps-uncap,1.0,25.013446807861335,51.24855041503908,20911.297416687008
mig,1.0,706.2623500823975,2425.5949735641484,165.80290794372561
mps-uncap,1.1,43.986606597900405,59.9132299423218,28714.626502990723
mig,1.1,6043.609976768494,6982.787132263184,5889.843702316284
mps-uncap,1.2,100.41880607604973,175.82044601440433,31334.11192893982
mig,1.2,13029.995989799503,10919.273686408997,12814.148426055908
mps-uncap,1.3,2792.267656326294,142.9104804992676,44083.64372253419
mig,1.3,18387.800455093384,17154.873490333557,18227.61278152466
