mode,load,0_resnet18-32,1_densenet161-16,2_mobilenet_v3_small-8
mps-uncap,0.6,21.904885768890395,65.67701339721681,35.62627315521241
mig,0.6,50.469017028808615,285.53419113159185,24.821112155914296
mps-uncap,0.7,26.592812538146923,139.63833093643038,71.5144205093384
mig,0.7,75.17379760742178,300.66555738449114,35.137093067169175
mps-uncap,0.8,35.90636253356933,114.34625387191772,142.1727275848389
mig,0.8,95.76075077056883,372.4098300933838,47.45439767837502
mps-uncap,0.9,48.9743423461914,136.48161888122556,7110.18919467926
mig,0.9,327.7227687835692,869.3943524360657,102.37024068832392
mps-uncap,1.0,60.80026865005496,154.85604286193836,22736.986026763916
mig,1.0,809.3535470962521,2810.0656366348267,252.41352081298817
mps-uncap,1.1,94.8777174949646,154.72861766815186,31336.951191425323
mig,1.1,6749.187951087952,8716.101717948914,6440.344333648683
mps-uncap,1.2,229.36008453369124,531.0168623924255,34816.530323028564
mig,1.2,14227.04078197479,12127.66052246094,13939.942002296448
mps-uncap,1.3,3092.384452819824,302.51636266708374,48063.343572616584
mig,1.3,20484.941959381104,19516.794502735138,19946.7471408844
