mode,load,0_resnet18-32,1_densenet161-16,2_mobilenet_v3_small-8
mps-uncap,0.6,6.820321083068848,26.73053741455078,7.876873016357422
mig,0.6,13.370990753173828,81.79616928100586,6.194591522216797
mps-uncap,0.7,7.164478302001953,30.46858310699463,12.734174728393555
mig,0.7,16.265392303466797,97.74494171142578,7.391810417175293
mps-uncap,0.8,8.78596305847168,34.17229652404785,25.452613830566406
mig,0.8,20.885944366455078,118.16120147705078,9.467363357543945
mps-uncap,0.9,9.838104248046875,36.85569763183594,3473.7722873687744
mig,0.9,42.73629188537598,198.4241008758545,15.551567077636719
mps-uncap,1.0,12.552618980407715,34.37161445617676,11422.364473342896
mig,1.0,495.46098709106445,1521.1011171340942,66.33663177490234
mps-uncap,1.1,17.372846603393555,41.02671146392822,16016.530990600586
mig,1.1,3449.819803237915,3609.4064712524414,3236.2297773361206
mps-uncap,1.2,27.07648277282715,67.48652458190918,17779.812574386597
mig,1.2,7459.935784339905,5650.935888290405,7018.355846405029
mps-uncap,1.3,1193.6542987823486,64.66376781463623,24548.484563827515
mig,1.3,10485.653162002563,9851.99224948883,9957.266569137573
