mode,load,0_resnet18-32,1_densenet161-16,2_mobilenet_v3_small-8
mps-uncap,0.6,45.45283317565918,95.38388252258301,60.85062026977539
mig,0.6,83.62364768981934,338.9263153076172,40.10438919067383
mps-uncap,0.7,53.299665451049805,264.9703025817871,125.28872489929199
mig,0.7,109.08746719360352,369.74167823791504,48.117876052856445
mps-uncap,0.8,68.63617897033691,156.62288665771484,172.05238342285156
mig,0.8,141.65902137756348,425.88019371032715,80.63435554504395
mps-uncap,0.9,75.73795318603516,239.9444580078125,7161.503076553345
mig,0.9,395.22862434387207,923.4838485717773,126.5254020690918
mps-uncap,1.0,112.36906051635742,221.1132049560547,22947.025537490845
mig,1.0,860.1062297821045,2961.212158203125,283.7710380554199
mps-uncap,1.1,141.03126525878906,208.27388763427734,31564.611673355103
mig,1.1,6869.587659835815,8854.907751083374,6527.454376220703
mps-uncap,1.2,301.257848739624,632.1876049041748,35204.89740371704
mig,1.2,14408.464670181274,12264.198780059814,14063.270330429077
mps-uncap,1.3,3131.326913833618,388.43655586242676,48500.134229660034
mig,1.3,20729.18939590454,19719.8805809021,20182.685375213623
