mode,load,0_resnet18-32,1_densenet161-16,2_mobilenet_v3_small-8
mps-uncap,0.6,8.550882339477539,33.663463592529304,5.762863159179687
mig,0.6,11.279821395874023,57.62195587158203,4.482483863830566
mps-uncap,0.7,8.4287166595459,35.27641296386719,6.377506256103516
mig,0.7,11.061382293701172,57.52604007720947,4.339694976806641
mps-uncap,0.8,9.072065353393555,37.169742584228516,6.1661720275878915
mig,0.8,10.505151748657227,57.39927291870117,4.255533218383789
mps-uncap,0.9,9.219932556152344,37.979984283447266,6.314420700073242
mig,0.9,10.353612899780275,57.46605396270752,4.247426986694336
mps-uncap,1.0,9.788370132446289,34.15477275848389,7.631921768188477
mig,1.0,10.242795944213867,57.30025768280029,4.149341583251954
mps-uncap,1.1,9.761333465576177,34.81011390686035,8.016920089721681
mig,1.1,10.246586799621582,57.230234146118164,4.179716110229492
mps-uncap,1.2,9.367656707763672,39.14003372192383,7.326364517211914
mig,1.2,10.22152900695801,57.149553298950195,4.144191741943359
mps-uncap,1.3,10.668087005615233,35.108137130737305,9.490680694580078
mig,1.3,10.187625885009766,57.10113048553467,4.199504852294922
