mode,load,0_resnet18-32,1_densenet161-16,2_mobilenet_v3_small-8
mps-uncap,0.6,39.087533950805664,68.07470321655273,56.80394172668457
mig,0.6,71.03395462036133,281.1598777770996,35.95137596130371
mps-uncap,0.7,45.90749740600586,242.88702011108398,120.57089805603027
mig,0.7,99.84755516052246,313.6718273162842,44.03114318847656
mps-uncap,0.8,61.08593940734863,119.40574645996094,168.05052757263184
mig,0.8,132.5666904449463,369.9300289154053,76.62105560302734
mps-uncap,0.9,68.44329833984375,203.4320831298828,7155.632495880127
mig,0.9,385.939359664917,863.8451099395752,122.52163887023926
mps-uncap,1.0,106.51230812072754,193.3901309967041,22942.826986312866
mig,1.0,850.8062362670898,2904.7539234161377,279.7858715057373
mps-uncap,1.1,133.24952125549316,182.1444034576416,31550.20260810852
mig,1.1,6859.502077102661,8798.808574676514,6521.501541137695
mps-uncap,1.2,294.7955131530762,593.8911437988281,35189.077854156494
mig,1.2,14397.960662841797,12207.75580406189,14059.126615524292
mps-uncap,1.3,3124.2575645446777,354.3970584869385,48478.31702232361
mig,1.3,20720.080375671387,19663.761854171753,20171.128034591675
