mode,load,0_squeezenet1_1-2,1_squeezenet1_1-2,2_squeezenet1_1-2,3_squeezenet1_1-2
mig,0.1,8.014745712280268,8.909025192260742,7.8415489196777335,6.182994842529302
mig,0.2,8.664798736572266,7.945775985717773,7.971279621124258,6.808757781982409
mig,0.3,5.8289766311645455,5.782229900360104,5.937290191650393,4.949340820312498
mig,0.4,8.94270420074463,9.56633090972898,8.780422210693361,5.676984786987287
mig,0.5,18.12128067016603,17.43210315704346,20.39368152618409,8.580017089843734
mig,0.6,65.31672477722174,76.5897965431213,96.77158117294312,12.624144554138176
mig,0.7,6204.772081375123,6637.1200299263,5709.255857467651,25.0127172470093
mig,0.8,12429.490356445314,12486.490430831911,12855.313539505005,52.83958196640014
mig,0.9,17430.387630462646,17159.1796541214,17931.97744369507,1163.2237577438354
mig,1.0,20280.181674957275,21275.728702545166,22396.132564544674,4702.765085697174
