mode,load,0_squeezenet1_1-2,1_squeezenet1_1-2,2_squeezenet1_1-2,3_squeezenet1_1-2
mig,0.1,176.52034663665847,179.0505610087379,175.1869526423027,118.06035687802007
mig,0.2,359.8670485199223,357.73771566150936,362.3991286113571,233.18239211681268
mig,0.3,524.7390724574453,540.3397918388653,531.3820639110086,350.97985954425843
mig,0.4,719.5557826026093,696.3142041097645,715.9901363972756,474.4583954039476
mig,0.5,881.8973308406021,909.6491282517221,863.4770697686964,577.3377948542551
mig,0.6,1058.169834956287,1063.2280915507306,1070.8851026205134,697.0963134066784
mig,0.7,1097.9061096359894,1101.2193764895421,1129.443732161543,833.5868960902201
mig,0.8,1099.6479188883345,1114.1139129450278,1110.3981172356835,912.9781622285501
mig,0.9,1100.7653584786701,1116.0122139945925,1108.5686323484863,1053.9783825837815
mig,1.0,1123.2556669688524,1132.4764910102806,1092.2303784526462,1076.340572962348
