mode,load,0_densenet161-16,1_mobilenet_v2-2,2_vgg19-32
mps-uncap,0.8,116.77432285736454,93.95820302925402,1042.0013621226421
mps-uncap,0.9,140.34581988348603,104.47565172201433,1153.7790766388555
mps-uncap,1.0,147.98391951886643,107.99305798088994,1157.8605347429332
mps-uncap,0.5,77.66467262346181,58.88063705274775,655.325986197529
mps-uncap,0.6,89.12281177725873,68.89589428984065,729.1061678378933
mps-uncap,0.7,112.59254568145161,79.28788721812093,902.9429216316023
mps-uncap,0.1,16.291194240492377,11.937826355142612,125.46381223522175
mps-uncap,0.2,28.218529595989008,23.61657943014386,256.90309555228544
mps-uncap,0.3,50.3429272926927,34.854835701376096,378.1982053615132
mps-uncap,0.4,53.21615854588606,46.764577067939,563.2076037995008
