mode,load,0_densenet161-16,1_mobilenet_v2-2,2_vgg19-32
mps-uncap,0.8,128.09109687805176,29.289722442626953,33.12110900878906
mps-uncap,0.9,115.80634117126465,30.798912048339844,33.59484672546387
mps-uncap,1.0,116.05072021484375,30.18641471862793,33.167123794555664
mps-uncap,0.5,121.4141845703125,25.85291862487793,31.984567642211914
mps-uncap,0.6,108.68072509765625,29.17337417602539,32.91010856628418
mps-uncap,0.7,125.42247772216797,28.41353416442871,33.12349319458008
mps-uncap,0.1,70.6179141998291,26.073217391967773,37.85276412963867
mps-uncap,0.2,66.26534461975098,25.48813819885254,34.15369987487793
mps-uncap,0.3,109.97986793518066,33.1578254699707,42.36602783203125
mps-uncap,0.4,105.21674156188965,27.151107788085938,31.454086303710938
