mode,load,0_densenet161-16,1_mobilenet_v2-2,2_vgg19-32
mps-uncap,0.8,942.9271221160889,146.96717262268066,787.5065803527832
mps-uncap,0.9,1581.1879634857178,427.39272117614746,2216.02463722229
mps-uncap,1.0,3936.8271827697754,5149.493455886841,4452.873706817627
mps-uncap,0.5,169.23022270202637,38.847923278808594,116.39881134033203
mps-uncap,0.6,132.04336166381836,64.96119499206543,152.95147895812988
mps-uncap,0.7,387.58158683776855,74.3863582611084,256.7882537841797
mps-uncap,0.1,0.06365776062011719,8.408308029174805,48.462629318237305
mps-uncap,0.2,29.766559600830078,21.680593490600586,42.83285140991211
mps-uncap,0.3,134.70911979675293,26.928186416625977,76.26104354858398
mps-uncap,0.4,61.88511848449707,39.1538143157959,94.67458724975586
