mode,load,0_densenet161-16,1_mobilenet_v2-2,2_vgg19-32
mps-uncap,0.8,125.54955959320066,26.637182235717773,31.73971176147461
mps-uncap,0.9,112.33951091766357,29.36402320861816,32.650413513183594
mps-uncap,1.0,111.9648551940918,29.40077304840088,30.99577665328979
mps-uncap,0.5,117.23717689514166,22.99237728118897,30.88370800018311
mps-uncap,0.6,107.47045516967773,25.087251663208008,30.90837001800537
mps-uncap,0.7,121.13847732543944,25.16687870025634,31.479790210723877
mps-uncap,0.1,67.99287319183348,19.602460861206055,35.797350406646736
mps-uncap,0.2,60.56859493255615,20.384311676025384,30.038607120513912
mps-uncap,0.3,93.66468667984003,19.217882156372045,30.338637828826897
mps-uncap,0.4,102.12865591049203,22.04285621643064,30.113239288330064
