mode,load,0_densenet161-16,1_mobilenet_v2-2,2_vgg19-32
mps-uncap,0.8,704.4427299499508,101.33987426757814,722.6869583129883
mps-uncap,0.9,1442.95578956604,379.05808448791487,2050.1324129104614
mps-uncap,1.0,3802.353754043579,5094.3195939064035,4303.277127742767
mps-uncap,0.5,90.47126770019544,20.403149127960216,88.77178668975836
mps-uncap,0.6,97.98967361450197,30.32782077789306,117.45076179504397
mps-uncap,0.7,328.16606760024985,35.50354003906248,190.87812662124605
mps-uncap,0.1,0.06049871444702148,7.010087966918943,24.028890132904074
mps-uncap,0.2,24.61374521255492,14.935345649719238,26.811649799346917
mps-uncap,0.3,70.77993631362901,13.108921051025368,44.32429075241069
mps-uncap,0.4,55.780954360962156,19.029109477996826,67.55115032196039
