mode,load,0_densenet161-16,1_mobilenet_v2-2,2_vgg19-32
mps-uncap,0.8,61.53225898742676,6.057262420654297,72.93224334716797
mps-uncap,0.9,312.7100467681885,76.13945007324219,563.2905960083008
mps-uncap,1.0,951.2275457382202,2042.8013801574707,3003.5842657089233
mps-uncap,0.5,0.030279159545898438,0.024080276489257812,2.7539730072021484
mps-uncap,0.6,0.029802322387695312,0.024557113647460938,9.62686538696289
mps-uncap,0.7,0.03147125244140625,0.024557113647460938,21.465778350830078
mps-uncap,0.1,0.042438507080078125,0.04100799560546875,0.04100799560546875
mps-uncap,0.2,0.043392181396484375,0.030755996704101562,0.03266334533691406
mps-uncap,0.3,0.04172325134277344,0.028371810913085938,0.029087066650390625
mps-uncap,0.4,0.03063678741455078,0.02658367156982422,0.030279159545898438
