mode,load,0_inception_v3-32,1_inception_v3-32
mig,0.1,0.06222724914550781,0.06818771362304688
mig,0.2,0.06103515625,0.06175041198730469
mig,0.3,0.054836273193359375,0.057697296142578125
mig,0.4,0.05698204040527344,0.06008148193359375
mig,0.5,0.06031990051269531,0.06318092346191406
mig,0.6,5.840063095092773,8.294105529785156
mig,0.7,12.30311393737793,13.054847717285156
mig,0.8,20.240068435668945,18.553972244262695
mig,0.9,47.469377517700195,37.13798522949219
mig,1.0,235.31198501586914,237.71929740905762
