mode,load,0_inception_v3-32,1_inception_v3-32
mig,0.1,0.0171661376953125,0.014781951904296875
mig,0.2,0.0133514404296875,0.014066696166992188
mig,0.3,0.013113021850585938,0.012874603271484375
mig,0.4,0.011920928955078125,0.012874603271484375
mig,0.5,0.011920928955078125,0.012159347534179688
mig,0.6,0.011920928955078125,0.011444091796875
mig,0.7,0.01049041748046875,0.0133514404296875
mig,0.8,0.012159347534179688,0.010728836059570312
mig,0.9,0.010728836059570312,0.012159347534179688
mig,1.0,0.012874603271484375,0.013113021850585938
