mode,load,0_inception_v3-32,1_inception_v3-32
mig,0.1,15.732765197753906,18.620967864990234
mig,0.2,15.717506408691406,18.58687400817871
mig,0.3,15.718936920166016,18.58210563659668
mig,0.4,15.714883804321289,18.593311309814453
mig,0.5,15.705585479736328,18.577098846435547
mig,0.6,15.70892333984375,18.586397171020508
mig,0.7,15.705108642578125,18.597841262817383
mig,0.8,15.720367431640625,18.609046936035156
mig,0.9,15.706062316894531,18.599510192871094
mig,1.0,15.740633010864258,18.61882209777832
