mode,load,0_inception_v3-32,1_inception_v3-32
mig,0.1,15.894222259521484,18.783791065216064
mig,0.2,16.15384817123413,19.14367914199829
mig,0.3,16.291964054107666,19.207477569580078
mig,0.4,16.262369155883786,19.177556037902832
mig,0.5,16.299545764923096,19.214863777160645
mig,0.6,16.288795471191406,19.18160915374756
mig,0.7,16.350255012512207,19.26453590393066
mig,0.8,16.348295211791992,19.255876541137695
mig,0.9,16.35432243347168,19.244747161865234
mig,1.0,16.38967990875244,19.272351264953613
