mode,load,0_vgg16-32,1_densenet201-2,2_efficientnet_b6-2
mps-uncap,1.0,1515.079946349039,24.384250228188556,31.602742382308314
ts,1.0,559.3491177966533,82.28136465529744,82.35746735869206
mig,1.0,783.2213083907376,97.6862302869846,116.1783185836982
