mode,load,0_vgg11-8,1_vgg11-8,2_vgg11-8,3_vgg11-8
mig,0.1,0.07410049438476562,0.6208896636962966,0.07679462432861328,0.07462501525878906
mig,0.2,5.680108070373535,6.6738367080688485,5.496859550476074,10.045456886291511
mig,0.3,8.06655883789064,8.77132415771485,8.133792877197267,18.285632133483887
mig,0.4,10.180950164794922,9.980082511901855,11.185050010681152,21.083116531372095
mig,0.5,14.006805419921877,15.943431854248052,16.156363487243656,27.436184883117686
mig,0.6,17.490744590759277,20.070409774780277,21.43316268920899,46.335721015930176
mig,0.7,29.506683349609375,30.318021774291992,34.838962554931655,61.31525039672853
mig,0.8,41.98498725891114,47.87163734436036,45.55439949035645,83.18495750427246
mig,0.9,104.58803176879884,112.29829788208009,72.87278175354002,157.01460838317868
mig,1.0,423.9614009857179,271.75674438476574,886.6865634918213,1395.0512409210205
