mode,load,0_alexnet-4,1_resnet101-32,2_vgg16-32
mps-uncap,0.8,428.05784958350165,287.13857923366163,1114.6673755003205
mps-uncap,0.9,487.00921017718,335.23635629568383,1255.4298760950587
mps-uncap,1.0,518.7882761552511,335.37103748193664,1255.013514311896
mps-uncap,0.5,263.14330299250827,174.1005401414845,713.272026101583
mps-uncap,0.6,319.85960902951695,186.9295092215298,825.7972826954593
mps-uncap,0.7,377.3800530292636,258.12571460642215,986.2021715603689
mps-uncap,0.1,53.28688843616905,36.420695822816455,135.24638770425622
mps-uncap,0.2,109.20719799981384,76.80256468900875,266.78229930430376
mps-uncap,0.3,162.665647184935,107.5070167926379,436.3695522020944
mps-uncap,0.4,215.08889731020219,143.12653857840422,542.7661400493081
