mode,load,0_alexnet-4,1_resnet101-32,2_vgg16-32
mps-uncap,0.8,15.91875076293945,97.32117652893066,30.103158950805632
mps-uncap,0.9,17.39634990692139,98.08810710906982,29.867372512817383
mps-uncap,1.0,17.74306774139404,99.91336822509766,29.983720779418945
mps-uncap,0.5,13.999640941619873,89.64790344238283,28.555719852447506
mps-uncap,0.6,14.65179443359375,95.29691696166991,29.437799453735323
mps-uncap,0.7,15.492787361145018,95.83799839019775,30.155491828918457
mps-uncap,0.1,11.656193733215344,46.14789962768555,30.742530822753903
mps-uncap,0.2,11.74287796020507,66.95031166076676,30.282700061798085
mps-uncap,0.3,11.8226408958435,78.05858850479136,28.55268001556396
mps-uncap,0.4,13.677861690521242,85.60183048248288,29.027695655822743
