mode,load,0_alexnet-4,1_resnet101-32,2_vgg16-32
mps-uncap,0.8,68.32414150238037,275.13446569442743,257.33869075775135
mps-uncap,0.9,185.1925468444825,1307.4523806571963,976.4127159118652
mps-uncap,1.0,2819.8146986961365,1394.104266166687,5062.929754257202
mps-uncap,0.5,12.868940830230713,90.94213485717782,83.00687551498397
mps-uncap,0.6,18.396520614623988,126.39888763427726,76.49415969848621
mps-uncap,0.7,32.68495559692367,480.4178524017333,128.74147891998294
mps-uncap,0.1,1.1872529983520541,8.838934898376477,16.976056098937967
mps-uncap,0.2,4.994583129882786,28.67841720581063,24.160311222076327
mps-uncap,0.3,9.47808980941769,20.634462833404548,43.58804702758785
mps-uncap,0.4,12.267591953277611,51.180572509765604,53.89911174774124
