mode,load,0_mobilenet_v2-8,1_mobilenet_v2-8,2_mobilenet_v2-8,3_mobilenet_v2-8
mig,0.1,6.255614757537842,6.265687942504882,6.3516998291015625,8.91195297241211
mig,0.2,6.457366943359375,6.444971561431885,6.289663314819338,8.905653953552246
mig,0.3,6.5247297286987305,6.528246402740478,6.484956741333006,8.901913166046143
mig,0.4,6.34800910949707,6.355032920837403,6.38092041015625,8.893556594848633
mig,0.5,5.668973922729492,5.685915946960449,5.704309940338134,8.884105682373047
mig,0.6,4.9893188476562464,5.10934591293335,5.213222503662109,8.88700008392334
mig,0.7,4.737720489501954,4.809441566467286,4.825592041015625,8.886771202087402
mig,0.8,4.7359466552734375,4.810292720794678,4.823520183563232,8.889198303222656
mig,0.9,4.738540649414062,4.821383953094482,4.833412170410157,8.889122009277344
mig,1.0,4.754006862640381,4.8313140869140625,4.84800100326538,8.887529373168945
