mode,load,0_mobilenet_v2-8,1_mobilenet_v2-8,2_mobilenet_v2-8,3_mobilenet_v2-8
mig,0.1,165.11198352826614,165.08396114038425,165.4222938165373,84.03087545723665
mig,0.2,330.7647409896664,331.84531078278434,332.3581815737134,177.07701434394235
mig,0.3,514.4437710273329,513.595181089403,507.9741487738207,279.1125511765957
mig,0.4,694.7097481924385,686.7982020624194,664.0197452994533,363.3735748979001
mig,0.5,850.2175179707722,850.0514388750381,837.1190416571416,442.22023879379606
mig,0.6,1027.6792828966563,1036.5451567712562,1008.926272611353,542.5875276243794
mig,0.7,1214.4724894337623,1190.542493859453,1179.4062115212312,627.3150622178086
mig,0.8,1384.1678603959522,1356.0575436169215,1344.0708778149544,723.7609455066289
mig,0.9,1541.9616937334324,1507.9444784990021,1523.7225998060335,821.0304405612596
mig,1.0,1701.914493592149,1682.0153019127147,1694.7141383341877,901.1627612342141
