mode,load,0_mobilenet_v3_small-16,1_densenet169-4,2_efficientnet_b7-8
mps-uncap,1.0,15.760421752929688,24.425268173217773,37.3234748840332
mig,1.0,16.82257652282715,24.569034576416016,59.5548152923584
