mode,load,0_mobilenet_v2-32,1_densenet201-16,2_mobilenet_v3_small-32
mps-uncap,0.6,62.6063346862793,142.72165298461914,55.696725845336914
mig,0.6,103.45125198364258,288.59901428222656,51.336050033569336
mps-uncap,0.7,75.66142082214355,157.792329788208,109.60817337036133
mig,0.7,132.9634189605713,562.6847743988037,115.67807197570801
mps-uncap,0.8,99.18022155761719,260.2992057800293,173.9218235015869
mig,0.8,188.1120204925537,408.4470272064209,110.55302619934082
mps-uncap,0.9,188.08412551879883,308.54082107543945,932.7130317687988
mig,0.9,258.1949234008789,756.9541931152344,222.2123146057129
mps-uncap,1.0,242.92659759521484,399.47032928466797,15914.246082305908
mig,1.0,1483.2961559295654,1418.076753616333,663.0113124847412
mps-uncap,1.1,596.2681770324707,559.5779418945312,31192.105531692505
mig,1.1,8568.2373046875,6675.243139266968,8261.919498443604
mps-uncap,1.2,7476.695775985718,1529.3424129486084,40294.72804069519
mig,1.2,13843.416690826416,14617.24305152893,14986.279010772705
mps-uncap,1.3,11665.755271911621,17373.415231704712,35596.986055374146
mig,1.3,20425.46248435974,17045.82691192627,18414.756774902344
