mode,load,0_mobilenet_v2-32,1_densenet201-16,2_mobilenet_v3_small-32
mps-uncap,0.6,5.898952484130859,20.351409912109375,4.173517227172852
mig,0.6,11.267423629760742,45.1960563659668,6.198883056640625
mps-uncap,0.7,5.990505218505859,20.298004150390625,4.19926643371582
mig,0.7,11.320829391479492,45.206546783447266,6.204128265380859
mps-uncap,0.8,5.9661865234375,20.65730094909668,4.192829132080078
mig,0.8,11.295080184936523,45.23873329162598,6.193876266479492
mps-uncap,0.9,5.929231643676758,20.29132843017578,4.181385040283203
mig,0.9,11.422395706176758,45.304059982299805,6.209373474121094
mps-uncap,1.0,7.25102424621582,20.708322525024414,4.349231719970703
mig,1.0,11.561155319213867,45.29380798339844,6.305217742919922
mps-uncap,1.1,7.355690002441406,21.38686180114746,4.584550857543945
mig,1.1,11.544466018676758,45.66049575805664,6.429433822631836
mps-uncap,1.2,7.538080215454102,22.947311401367188,4.444599151611328
mig,1.2,11.535882949829102,45.95780372619629,6.482362747192383
mps-uncap,1.3,8.354663848876953,37.72330284118652,9.567499160766602
mig,1.3,11.92617416381836,46.92387580871582,6.881952285766602
