mode,load,0_mobilenet_v2-32,1_densenet201-16,2_mobilenet_v3_small-32
mps-uncap,0.6,13.858480453491206,42.37087726593018,13.158082962036133
mig,0.6,16.33682012557982,48.577704429626465,10.953807830810549
mps-uncap,0.7,14.234712123870846,44.423484802246094,13.515710830688477
mig,0.7,16.17013931274414,49.0380859375,10.818796157836916
mps-uncap,0.8,14.345164299011229,45.042686462402344,13.728425502777098
mig,0.8,15.887737274169922,48.35376739501953,10.61456203460693
mps-uncap,0.9,14.818854331970215,41.27832889556885,14.068315029144287
mig,0.9,15.421724319458013,48.11609029769897,9.789137840270996
mps-uncap,1.0,14.959983825683594,42.34011650085449,14.216887950897224
mig,1.0,15.194592475891115,47.775719165802,9.31896686553955
mps-uncap,1.1,14.956378936767578,42.24020719528198,14.401912689208997
mig,1.1,15.368366241455076,47.54201889038086,9.27587509155273
mps-uncap,1.2,15.031189918518063,42.405216693878174,14.546251296997074
mig,1.2,15.37810325622559,47.43350028991699,9.067535400390625
mps-uncap,1.3,14.235174655914305,48.230648040771484,13.235807418823244
mig,1.3,16.07614755630493,48.359203338623054,10.807399749755861
