mode,load,0_mobilenet_v2-32,1_densenet201-16,2_mobilenet_v3_small-32
mps-uncap,0.6,18.683671951293945,61.352992057800286,19.216537475585938
mig,0.6,36.543893814086914,128.52590084075928,21.494626998901367
mps-uncap,0.7,25.166296958923354,74.26667213439941,34.12580490112305
mig,0.7,44.37589645385742,191.7325973510742,28.50809097290039
mps-uncap,0.8,33.07011127471924,100.2739429473877,60.80574989318847
mig,0.8,71.77293300628662,217.15259552001953,41.28835201263428
mps-uncap,0.9,56.423854827880895,118.74358654022218,569.7795867919921
mig,0.9,120.28789520263672,504.37014102935785,89.39273357391357
mps-uncap,1.0,87.08572387695317,158.22286605834975,14294.369411468513
mig,1.0,1069.9877977371216,878.0704736709595,430.0346374511719
mps-uncap,1.1,310.4787349700929,262.14673519134516,28078.350067138672
mig,1.1,8057.24573135376,5907.84764289856,7377.736186981201
mps-uncap,1.2,6480.312752723696,1061.225175857544,36207.12423324585
mig,1.2,12239.081573486328,13087.209463119505,13504.527807235718
mps-uncap,1.3,10462.92200088501,15473.192930221558,31867.103099822998
mig,1.3,18261.33966445923,16422.71590232849,16410.33010482788
