mode,load,0_mobilenet_v2-32,1_densenet201-16,2_mobilenet_v3_small-32
mps-uncap,0.6,49.15022850036621,103.30390930175781,51.46050453186035
mig,0.6,91.74013137817383,241.2116527557373,44.455528259277344
mps-uncap,0.7,63.393592834472656,128.00312042236328,101.0599136352539
mig,0.7,120.19467353820801,515.6819820404053,108.11734199523926
mps-uncap,0.8,89.30706977844238,223.16527366638184,163.1629467010498
mig,0.8,174.58343505859375,361.73343658447266,102.70452499389648
mps-uncap,0.9,176.82528495788574,272.979736328125,923.9099025726318
mig,0.9,246.21009826660156,711.5812301635742,215.14368057250977
mps-uncap,1.0,231.0943603515625,371.3521957397461,15906.94284439087
mig,1.0,1469.621181488037,1371.5696334838867,655.3061008453369
mps-uncap,1.1,587.120771408081,525.0263214111328,31180.845737457275
mig,1.1,8555.63473701477,6629.040002822876,8255.228757858276
mps-uncap,1.2,7463.475465774536,1493.9980506896973,40281.25834465027
mig,1.2,13831.3467502594,14571.74301147461,14978.68537902832
mps-uncap,1.3,11657.283306121826,17349.104642868042,35585.861682891846
mig,1.3,20413.76566886902,17000.356674194336,18408.207893371582
