mode,load,0_mobilenet_v2-32,1_densenet201-16,2_mobilenet_v3_small-32
mps-uncap,0.6,5.883216857910156,20.17354965209961,4.158496856689453
mig,0.6,11.252641677856445,45.143842697143555,6.170749664306641
mps-uncap,0.7,5.877494812011719,20.253658294677734,4.168033599853516
mig,0.7,11.253833770751953,45.087575912475586,6.1817169189453125
mps-uncap,0.8,5.89442253112793,20.422935485839844,4.159688949584961
mig,0.8,11.236429214477539,45.10903358459473,6.171226501464844
mps-uncap,0.9,5.903482437133789,20.21026611328125,4.127025604248047
mig,0.9,11.328458786010742,45.17340660095215,6.183385848999023
mps-uncap,1.0,6.878137588500977,20.688533782958984,4.173755645751953
mig,1.0,11.35706901550293,45.13239860534668,6.180047988891602
mps-uncap,1.1,7.145881652832031,21.130084991455078,4.166364669799805
mig,1.1,11.28530502319336,45.223236083984375,6.192207336425781
mps-uncap,1.2,7.115840911865234,20.494937896728516,4.256486892700195
mig,1.2,11.437654495239258,45.27020454406738,6.280183792114258
mps-uncap,1.3,7.529973983764648,21.465301513671875,4.277229309082031
mig,1.3,11.257410049438477,45.07565498352051,6.165981292724609
