mode,load,0_mobilenet_v2-32,1_densenet201-16,2_mobilenet_v3_small-32
mps-uncap,0.6,22.08016395568846,65.32425165176393,27.817487716674805
mig,0.6,54.22490835189818,157.812657356262,27.272844314575217
mps-uncap,0.7,37.80784368515008,94.93653774261465,71.64764404296875
mig,0.7,66.81142807006829,399.2290544509886,45.908663272857694
mps-uncap,0.8,52.36346244812012,134.6497297286985,117.01308727264399
mig,0.8,122.3595738410949,309.2572689056398,76.67484760284418
mps-uncap,0.9,133.588547706604,184.0820050239563,875.5922555923459
mig,0.9,198.1062412261967,612.9728198051451,161.90622091293343
mps-uncap,1.0,155.10997772216797,279.64175224304205,15819.09878730774
mig,1.0,1296.9460201263428,1189.4480681419375,592.7572584152222
mps-uncap,1.1,524.6081447601316,418.3419823646546,30844.61998939514
mig,1.1,8452.205657958984,6499.43480014801,8100.333709716797
mps-uncap,1.2,7362.259476184844,1387.6841139793396,39947.232401371
mig,1.2,13645.210905075073,14320.001006126404,14886.39132976532
mps-uncap,1.3,11392.485482692717,16984.840393066406,35294.28417682648
mig,1.3,20140.040683746338,16956.541860103607,18235.99019050598
